"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"76","1973-04-11T02:22:17.800Z",16.093,-95.424,33,4.9,"mb",NA,NA,NA,NA,"us","usp00001bm","2014-11-06T23:21:11.200Z","Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"77","1973-04-09T03:17:48.900Z",12.267,-86.553,167,4.7,"mb",NA,NA,NA,NA,"us","usp00001ar","2014-11-06T23:21:11.051Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"78","1973-04-01T07:18:29.400Z",14.685,-94.647,33,4.6,"ms",NA,NA,NA,NA,"us","usp0000169","2014-11-06T23:21:10.669Z","off the coast of Chiapas, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"79","1973-03-25T22:42:02.800Z",25.89,-109.878,33,5.5,"ms",NA,NA,NA,NA,"us","usp000012t","2015-05-13T18:53:07.000Z","Gulf of California","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"80","1973-03-09T09:58:09.200Z",13.821,-91.266,114,4.7,"mb",NA,NA,NA,NA,"us","usp00000vw","2014-11-06T23:21:09.818Z","offshore Guatemala","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"81","1973-03-09T06:04:58.600Z",18.848,-104.842,33,4.5,"mb",NA,NA,NA,NA,"us","usp00000vv","2014-11-06T23:21:09.816Z","offshore Jalisco, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"82","1973-03-08T21:02:32.100Z",18.493,-105.006,33,4.6,"mb",NA,NA,NA,NA,"us","usp00000vq","2014-11-06T23:21:09.809Z","offshore Jalisco, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"83","1973-03-07T13:00:45.200Z",12.705,-88.027,64,4.6,"mb",NA,NA,NA,NA,"us","usp00000v4","2014-11-06T23:21:09.776Z","offshore El Salvador","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"84","1973-03-06T22:19:32.700Z",27.54,-112.451,33,5.1,"mb",NA,NA,NA,NA,"us","usp00000ur","2014-11-06T23:21:09.756Z","Baja California Sur, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"85","1973-03-02T08:40:07.300Z",24.115,-108.89,33,4.6,"mb",NA,NA,NA,NA,"us","usp00000sy","2014-11-06T23:21:09.660Z","Gulf of California","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"86","1973-02-22T07:38:01.100Z",14.504,-90.977,100,4.6,"mb",NA,NA,NA,NA,"us","usp00000nb","2014-11-06T23:21:09.243Z","Guatemala","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"87","1973-02-22T00:30:20.300Z",14.478,-91.637,107,5.2,"mb",NA,NA,NA,NA,"us","usp00000n4","2014-11-06T23:21:09.228Z","Guatemala","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"88","1973-02-20T21:16:00.700Z",15.329,-95.256,33,4.8,"mb",NA,NA,NA,NA,"us","usp00000me","2014-11-06T23:21:09.175Z","offshore Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"89","1973-02-15T00:15:53.700Z",11.534,-86.473,33,5.1,"mb",NA,NA,NA,NA,"us","usp00000hn","2014-11-06T23:21:08.997Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"90","1973-02-13T03:01:30.400Z",16.141,-97.009,30,4.6,"mb",NA,NA,NA,NA,"us","usp00000gu","2014-11-06T23:21:08.939Z","Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"91","1973-02-12T18:26:09.800Z",16.256,-98.916,24,4.8,"mb",NA,NA,NA,NA,"us","usp00000gs","2014-11-06T23:21:08.934Z","offshore Guerrero, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"92","1973-02-10T11:53:27.500Z",18.886,-103.545,33,5.6,"ms",NA,NA,NA,NA,"us","usp00000g0","2015-05-13T18:53:07.000Z","Michoacan, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"93","1973-01-31T22:25:52.900Z",18.944,-103.376,33,4.6,"mb",NA,NA,NA,NA,"us","usp00000br","2014-11-06T23:21:08.582Z","Michoacan, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"94","1973-01-31T15:15:58.100Z",18.286,-102.882,33,4.7,"mb",NA,NA,NA,NA,"us","usp00000bk","2014-11-06T23:21:08.572Z","Michoacan, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"95","1973-01-31T12:32:26.400Z",18.187,-97.047,50,4.7,"mb",NA,NA,NA,NA,"us","usp00000bh","2014-11-06T23:21:08.567Z","Puebla, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"96","1973-01-30T21:01:12.500Z",18.481,-102.996,43,7.5,"ms",NA,NA,NA,NA,"us","usp00000bf","2017-04-26T17:26:33.460Z","Michoacan, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"97","1973-01-22T00:49:30.900Z",18.592,-104.921,33,5,"mb",NA,NA,NA,NA,"us","usp000008e","2014-11-06T23:21:08.264Z","offshore Jalisco, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"98","1973-01-22T00:37:58.000Z",18.601,-104.967,33,6.1,"ms",NA,NA,NA,NA,"us","usp000008d","2015-05-13T18:53:07.000Z","offshore Jalisco, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"99","1973-01-08T09:58:46.600Z",14.325,-98.122,33,4.6,"mb",NA,NA,NA,NA,"us","usp000002n","2014-11-06T23:21:07.455Z","off the coast of Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
